Release Date,Target Month,Time (UTC),Target Key,Actual Original (000s),Actual Revised/Displayed (000s),Forecast (000s),Previous Original (000s),Error vs Original (000s),Abs Deviation vs Original (000s),Error vs Revised/Displayed (000s),Abs Deviation vs Revised/Displayed (000s),Forecast Available?,Source URL
2020-02-07,Jan 2020,13:30,2020-01,273,225,160,,-113,113,-65,65,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-03-06,Feb 2020,12:30,2020-02,275,273,175,273,-100,100,-98,98,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-04-03,Mar 2020,12:30,2020-03,-870,-701,-100,275,770,770,601,601,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-05-08,Apr 2020,12:30,2020-04,-20687,-20537,-22000,-870,-1313,1313,-1463,1463,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-06-05,May 2020,12:30,2020-05,2699,2509,-8000,-20687,-10699,10699,-10509,10509,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-07-02,Jun 2020,12:30,2020-06,4791,4800,3000,2699,-1791,1791,-1800,1800,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-08-07,Jul 2020,12:30,2020-07,1734,1763,1600,4791,-134,134,-163,163,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-09-04,Aug 2020,12:30,2020-08,1489,1371,1400,1734,-89,89,29,29,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-10-02,Sep 2020,12:30,2020-09,672,661,850,1489,178,178,189,189,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-11-06,Oct 2020,13:30,2020-10,610,638,600,672,-10,10,-38,38,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2020-12-04,Nov 2020,13:30,2020-11,336,245,469,610,133,133,224,224,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-01-08,Dec 2020,13:30,2020-12,-227,-140,71,336,298,298,211,211,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-02-05,Jan 2021,13:30,2021-01,166,49,50,-227,-116,116,1,1,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-03-05,Feb 2021,13:30,2021-02,468,379,182,166,-286,286,-197,197,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-04-02,Mar 2021,12:30,2021-03,770,916,647,468,-123,123,-269,269,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-05-07,Apr 2021,12:30,2021-04,278,266,978,770,700,700,712,712,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-06-04,May 2021,12:30,2021-05,583,559,650,278,67,67,91,91,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-07-02,Jun 2021,12:30,2021-06,938,850,700,583,-238,238,-150,150,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-08-06,Jul 2021,12:30,2021-07,1053,943,870,938,-183,183,-73,73,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-09-03,Aug 2021,12:30,2021-08,366,235,750,1053,384,384,515,515,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-10-08,Sep 2021,12:30,2021-09,312,194,500,366,188,188,306,306,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-11-05,Oct 2021,12:30,2021-10,546,531,450,312,-96,96,-81,81,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2021-12-03,Nov 2021,13:30,2021-11,249,210,550,546,301,301,340,340,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-01-07,Dec 2021,13:30,2021-12,510,199,400,249,-110,110,201,201,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-02-04,Jan 2022,13:30,2022-01,481,467,150,510,-331,331,-317,317,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-03-04,Feb 2022,13:30,2022-02,750,678,400,481,-350,350,-278,278,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-04-01,Mar 2022,12:30,2022-03,428,431,490,750,62,62,59,59,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-05-06,Apr 2022,12:30,2022-04,436,428,391,428,-45,45,-37,37,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-06-03,May 2022,12:30,2022-05,384,390,325,436,-59,59,-65,65,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-07-08,Jun 2022,12:30,2022-06,398,372,268,384,-130,130,-104,104,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-08-05,Jul 2022,12:30,2022-07,526,528,250,398,-276,276,-278,278,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-09-02,Aug 2022,12:30,2022-08,315,315,300,526,-15,15,-15,15,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-10-07,Sep 2022,12:30,2022-09,315,263,250,315,-65,65,-13,13,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-11-04,Oct 2022,12:30,2022-10,284,261,200,315,-84,84,-61,61,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2022-12-02,Nov 2022,13:30,2022-11,256,263,200,284,-56,56,-63,63,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-01-06,Dec 2022,13:30,2022-12,260,223,200,256,-60,60,-23,23,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-02-03,Jan 2023,13:30,2023-01,504,517,185,260,-319,319,-332,332,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-03-10,Feb 2023,13:30,2023-02,326,311,205,504,-121,121,-106,106,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-04-07,Mar 2023,12:30,2023-03,165,236,239,326,74,74,3,3,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-05-05,Apr 2023,12:30,2023-04,294,253,180,165,-114,114,-73,73,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-06-02,May 2023,12:30,2023-05,306,339,180,294,-126,126,-159,159,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-07-07,Jun 2023,12:30,2023-06,185,209,225,306,40,40,16,16,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-08-04,Jul 2023,12:30,2023-07,157,187,200,185,43,43,13,13,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-09-01,Aug 2023,12:30,2023-08,227,187,170,157,-57,57,-17,17,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-10-06,Sep 2023,12:30,2023-09,297,336,170,227,-127,127,-166,166,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-11-03,Oct 2023,12:30,2023-10,150,150,180,297,30,30,30,30,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2023-12-08,Nov 2023,13:30,2023-11,182,199,180,150,-2,2,-19,19,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-01-05,Dec 2023,13:30,2023-12,290,216,170,182,-120,120,-46,46,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-02-02,Jan 2024,13:30,2024-01,256,353,187,290,-69,69,-166,166,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-03-08,Feb 2024,13:30,2024-02,236,275,198,256,-38,38,-77,77,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-04-05,Mar 2024,12:30,2024-03,310,303,212,236,-98,98,-91,91,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-05-03,Apr 2024,12:30,2024-04,108,175,238,310,130,130,63,63,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-06-07,May 2024,12:30,2024-05,216,272,182,108,-34,34,-90,90,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-07-05,Jun 2024,12:30,2024-06,118,206,191,216,73,73,-15,15,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-08-02,Jul 2024,12:30,2024-07,144,114,176,118,32,32,62,62,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-09-06,Aug 2024,12:30,2024-08,78,142,164,144,86,86,22,22,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-10-04,Sep 2024,12:30,2024-09,255,254,147,78,-108,108,-107,107,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-11-01,Oct 2024,12:30,2024-10,43,12,106,255,63,63,94,94,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2024-12-06,Nov 2024,13:30,2024-11,261,227,202,43,-59,59,-25,25,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-01-10,Dec 2024,13:30,2024-12,323,256,164,261,-159,159,-92,92,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-02-07,Jan 2025,13:30,2025-01,111,143,169,323,58,58,26,26,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-03-07,Feb 2025,13:30,2025-02,102,151,159,111,57,57,8,8,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-04-04,Mar 2025,12:30,2025-03,120,228,137,102,17,17,-91,91,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-05-02,Apr 2025,12:30,2025-04,158,177,138,120,-20,20,-39,39,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-06-06,May 2025,12:30,2025-05,19,139,126,158,107,107,-13,13,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-07-03,Jun 2025,12:30,2025-06,-13,147,111,19,124,124,-36,36,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-08-01,Jul 2025,12:30,2025-07,79,73,106,-13,27,27,33,33,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-09-05,Aug 2025,12:30,2025-08,-4,22,75,79,79,79,53,53,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-11-20,Sep 2025,13:30,2025-09,108,119,53,-4,-55,55,-66,66,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-12-16,Oct 2025,13:29,2025-10,-105,-105,,108,,,,,No,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2025-12-16,Nov 2025,13:30,2025-11,56,64,51,-105,-5,5,-13,13,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-01-09,Dec 2025,13:30,2025-12,48,50,66,56,18,18,16,16,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-02-11,Jan 2026,13:30,2026-01,126,130,66,48,-60,60,-64,64,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-03-06,Feb 2026,13:30,2026-02,-133,-92,58,126,191,191,150,150,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-04-03,Mar 2026,12:30,2026-03,185,178,65,-133,-120,120,-113,113,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-05-08,Apr 2026,12:30,2026-04,179,115,65,185,-114,114,-50,50,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-06-05,May 2026,12:30,2026-05,129,172,85,179,-44,44,-87,87,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
2026-07-02,Jun 2026,12:30,2026-06,57,57,114,129,57,57,57,57,Yes,https://in.investing.com/economic-calendar/nonfarm-payrolls-227
